Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
H14663,2013,52.0,0,1,0,1,1,290.0,1,1960.0,   .,5,0
H2037,2015,52.0,0,0,1,0,0,490.0,1,1850.0,4,5,0
H3802,2014,52.0,0,1,0,1,1,595.0,1,1960.0,   .,5,0
H3834,2013,52.0,0,0,0,1,1,2840.0,1,1960.0,   .,5,0
H5053,2014,52.0,0,0,1,0,0,680.0,1,1800.0,3,5,0
H4977,2012,52.0,0,0,1,0,0,535.0,1,1980.0,3,2,0
H7390,2012,52.0,0,1,0,1,1,2830.0,1,1988.0,   .,2,0
H14488,2015,52.0,0,1,0,1,1,4952.0,1,1988.0,   .,1,0
H19355,2014,52.0,0,0,1,0,0,2735.0,1,2013.0,3,1,1
H18601,2015,52.0,0,0,1,0,0,520.0,1,2011.0,2,1,0
H18177,2013,13.0,0,0,1,0,0,550.0,1,1960.0,3,2,0
H356,2013,52.0,0,0,0,1,1,910.0,1,1960.0,   .,2,0
H15676,2013,52.0,0,0,1,0,0,842.0,1,1550.0,4,2,0
H19442,2014,44.0,0,0,1,0,0,300.0,1,1900.0,2,2,0
H14635,2012,52.0,0,1,0,1,1,560.0,1,1960.0,   .,1,0
H13053,2012,52.0,0,0,1,0,0,3326.0,1,2007.0,4,3,1
H14330,2014,52.0,0,1,0,1,1,3990.0,1,1988.0,   .,3,1
H14331,2015,52.0,0,1,0,1,1,3990.0,1,1988.0,   .,3,0
H19461,2015,52.0,0,0,1,0,0,2444.0,1,1970.0,5,2,0
H19462,2016,52.0,0,0,1,0,0,2444.0,1,1970.0,5,2,0
H17764,2016,50.0,0,0,1,0,0,1626.0,1,1950.0,2,1,0
H16563,2016,52.0,0,0,1,0,0,2400.0,1,1700.0,3,2,0
H2103,2012,52.0,0,0,1,0,0,250.0,1,1900.0,4,2,0
H4421,2012,52.0,1,0,1,0,0,2300.0,1,1970.0,4,1,1
H4438,2016,52.0,0,1,0,1,1,600.0,1,1980.0,   .,1,0
H15578,2012,52.0,0,0,1,0,0,5439.0,1,1976.0,>=10,3,0
H15579,2014,52.0,0,0,1,0,0,5439.0,1,1976.0,>=10,3,1
H7015,2014,52.0,0,0,1,0,0,1100.0,1,1900.0,4,3,0
H16003,2016,52.0,0,0,1,0,0,1200.0,1,1940.0,5,3,0
H18009,2012,52.0,0,0,1,0,0,552.0,1,1950.0,5,3,0
H19316,2014,52.0,0,0,1,0,0,900.0,1,1920.0,5,3,0
H12704,2013,52.0,0,0,1,0,0,370.0,2,1982.0,3,2,1
H16016,2016,52.0,0,0,1,0,0,1400.0,2,1960.0,3,2,0
H13026,2016,52.0,1,1,0,1,1,1000.0,2,1960.0,   .,1,0
H16387,2012,52.0,0,0,1,0,0,480.0,2,1800.0,4,1,0
H13678,2014,4.0,0,0,1,0,0,1300.0,2,1970.0,3,2,0
H3587,2014,52.0,0,0,1,0,0,2900.0,2,1980.0,4,2,1
H14189,2014,52.0,0,1,0,1,1,1300.0,2,1988.0,   .,3,0
H14499,2013,52.0,0,1,0,1,1,1300.0,2,1988.0,   .,3,0
H14500,2015,52.0,0,1,0,1,1,1300.0,2,1988.0,   .,3,0
H4286,2012,52.0,0,1,0,1,1,1592.0,2,1980.0,   .,2,0
H4287,2013,52.0,0,1,0,1,1,1592.0,2,1980.0,   .,2,0
H15998,2014,52.0,0,0,1,0,0,450.0,2,1980.0,4,1,0
H3780,2016,52.0,0,1,0,1,1,480.0,2,1970.0,   .,1,0
H16404,2015,52.0,1,0,1,0,0,487.0,2,1980.0,3,1,0
H15609,2015,52.0,0,0,1,0,0,1550.0,1,1972.0,4,4,1
H15610,2016,52.0,0,0,1,0,0,1550.0,1,1972.0,4,4,0
H17251,2014,52.0,1,0,1,0,0,650.0,1,2010.0,2,4,1
H17252,2015,52.0,1,0,1,0,0,650.0,1,2010.0,2,4,0
H13147,2014,52.0,0,0,1,0,0,2600.0,1,1971.0,6,12,1
H13148,2013,52.0,0,1,0,1,1,1314.0,1,1988.0,   .,12,1
H3595,2013,52.0,0,0,0,1,1,2960.0,1,1988.0,   .,12,0
H3596,2015,52.0,0,0,0,1,1,2960.0,1,1988.0,   .,12,0
